log_text,label
- 1125083946 2005.08.26 R72-M0-N3-C:J14-U11 2005-08-26-12.19.06.789035 R72-M0-N3-C:J14-U11 RAS KERNEL INFO 773760 double-hummer alignment exceptions,normal
"APPSEV 1132940652 2005.11.25 R40-M0-N4-I:J18-U11 2005-11-25-09.44.12.099423 R40-M0-N4-I:J18-U11 RAS APP FATAL ciod: Error reading message prefix on CioStream socket to 172.16.96.116:40238, Link has been severed",anomaly
"- 1133011849 2005.11.26 R26-M0-N8-I:J18-U11 2005-11-26-05.30.49.027984 R26-M0-N8-I:J18-U11 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x000001f2",normal
- 1118964331 2005.06.16 R02-M1-N0-C:J12-U11 2005-06-16-16.25.31.565513 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,normal
- 1119695538 2005.06.25 R37-M1-N9-C:J17-U01 2005-06-25-03.32.18.724572 R37-M1-N9-C:J17-U01 RAS KERNEL INFO 255804187 double-hummer alignment exceptions,normal
KERNSTOR 1118767870 2005.06.14 R03-M1-N9-C:J06-U01 2005-06-14-09.51.10.445312 R03-M1-N9-C:J06-U01 RAS KERNEL FATAL data storage interrupt,anomaly
- 1125621917 2005.09.01 R35-M0-N0-C:J07-U01 2005-09-01-17.45.17.429959 R35-M0-N0-C:J07-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected,normal
KERNDTLB 1118545744 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-20.09.04.435470 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,anomaly
KERNMNTF 1125554084 2005.08.31 R52-M0-N4-I:J18-U11 2005-08-31-22.54.44.897041 R52-M0-N4-I:J18-U11 RAS KERNEL FATAL Lustre mount FAILED : bglio675 : point /p/gb1,anomaly
"APPRES 1132600345 2005.11.21 R45-M0-N0-I:J18-U11 2005-11-21-11.12.25.954392 R45-M0-N0-I:J18-U11 RAS APP FATAL ciod: Error reading message prefix on CioStream socket to 172.16.96.116:42210, Connection reset by peer",anomaly
